small_area,total_value_mGBP
E01000314,3.890031222
E01000315,1.51162453
E01000316,1.573390125
E01000317,3.57864869
E01000318,9.398688508
E01000319,2.428998343
E01000320,2.4387403
E01000321,2.192494574
E01000322,3.367674112
E01000323,1.438660584
E01000324,5.451060072
E01000325,8.032926591
E01000326,2.047182886
E01000327,4.578678848
E01000328,3.797050128
E01000329,2.785937642
E01000330,2.695113556
E01000331,3.059758622
E01000332,2.801049219
E01000333,2.14222082
E01000334,3.449273111
E01000335,2.627790969
E01000336,1.188541163
E01000337,1.952836076
E01000338,2.180414414
E01000339,4.760017174
E01000340,3.846736662
E01000341,5.114253639
E01000342,2.977525525
E01000343,6.632561759
E01000344,4.662258348
E01000345,8.285464112
E01000346,2.773289155
E01000347,2.383556451
E01000348,11.33926197
E01000349,8.412926591
E01000350,5.530252179
E01000351,4.442359951
E01000352,2.897384666
E01000353,7.932235231
E01000354,3.33947214
E01000355,4.952588831
E01000356,5.411415342
E01000357,8.588182342
E01000358,4.010174121
E01000359,5.420545963
E01000360,2.954647819
E01000361,4.408111034
E01000362,4.942629565
E01000363,5.865127111
E01000364,4.305160062
E01000365,3.364509379
E01000366,3.546515165
E01000367,3.006657275
E01000368,2.047880615
E01000369,4.250576031
E01000370,4.368265862
E01000371,3.479223047
E01000372,2.262846488
E01000373,1.608475098
E01000374,2.375523109
E01000375,3.245365633
E01000376,3.077428772
E01000377,1.874218713
E01000379,2.512017244
E01000380,2.000089841
E01000381,2.263010894
E01000382,7.388326375
E01000383,3.850789234
E01000384,3.073388908
E01000385,2.204204436
E01000386,1.146903869
E01000387,4.130103153
E01000388,5.345918298
E01000389,2.935737664
E01000390,4.305688217
E01000391,2.721421202
E01000392,2.480327812
E01000393,3.386180848
E01000394,3.314749174
E01000395,11.22718309
E01000396,6.061122776
E01000398,2.429702461
E01000399,3.124774253
E01000400,2.57334407
E01000401,2.625999548
E01000402,1.680709121
E01000403,2.299896664
E01000404,1.287020741
E01000405,1.664107225
E01000406,2.496126767
E01000407,2.871995136
E01000408,1.900841131
E01000409,4.196751076
E01000410,3.579625198
E01000411,3.114072628
E01000412,3.658415152
E01000413,2.660632517
E01000414,2.960050191
E01000415,9.276644138
E01000416,1.647112474
E01000417,2.877510818
E01000418,1.903171776
E01000419,3.878151286
E01000420,3.705835208
E01000421,6.962726571
E01000422,0.749709538
E01000423,7.97300639
E01000424,1.891072013
E01000425,15.07775119
E01000426,2.440672844
E01000427,2.953431621
E01000428,2.233355213
E01000429,1.221161628
E01000430,2.9229803
E01000431,1.317001233
E01000433,1.704363928
E01000434,1.496978216
E01000435,1.488105915
E01000436,12.71813509
E01000437,3.098813103
E01000438,2.209581446
E01000439,1.728269885
E01000440,4.033292004
E01000441,1.879605519
E01000442,4.501929022
E01000443,3.281637031
E01000444,10.46303387
E01000445,7.615576872
E01000446,3.181264563
E01000447,3.198015039
E01000448,7.189222866
E01000449,7.440844603
E01000450,4.450572687
E01000451,3.803076917
E01000452,4.893482
E01000453,3.969033372
E01000454,2.652488853
E01000455,3.518292983
E01000456,2.369466352
E01000457,2.720567272
E01000458,3.663695105
E01000459,2.585209703
E01000460,4.32286658
E01000461,13.5806036
E01000462,2.089870886
E01000463,3.023427871
E01000464,1.156525616
E01000465,1.07419609
E01000466,1.23849983
E01000467,1.617783713
E01000468,3.213229215
E01000469,1.75894305
E01000470,0.961685556
E01000471,2.067861691
E01000472,0.849287204
E01000473,1.661005398
E01000474,3.484423014
E01000475,3.225930219
E01000476,3.464083977
E01000477,2.352231749
E01000478,2.428648596
E01000479,16.88350514
E01000480,11.58569435
E01000481,0.275689781
E01000483,1.208990208
E01000484,1.463751139
E01000485,3.05900885
E01000486,4.580760441
E01000487,2.390625003
E01000488,1.477602943
E01000489,3.444936364
E01000490,0.293779987
E01000491,3.352051627
E01000492,6.503017011
E01000493,11.46415572
E01000494,1.663223242
E01000495,0.985026576
E01000497,2.393722222
E01000498,2.041582562
E01000499,1.837757698
E01000501,1.359549392
E01000502,1.96038942
E01000503,3.925616025
E01000504,2.35832432
E01000505,1.628857569
E01000506,0.185554212
E01000507,3.885001481
E01000508,1.402218158
E01000509,1.253356016
E01000510,1.304373699
E01000511,2.048693735
E01000512,3.17071029
E01000513,6.030569299
E01000514,2.487262132
E01000515,2.399909663
E01000516,4.007168486
E01000517,5.6492174
E01000518,3.21207453
E01000519,2.93375947
E01000520,2.570741515
E01000521,0.48752199
E01000522,1.053455798
E01000523,0.394620517
E01000524,0.245791991
E01000525,0.926946967
E01000526,1.049580023
E01000527,0.950049633
E01000528,0.746699879
E01000530,4.978361364
E01000531,1.065880836
E01000532,2.580995459
E01000533,1.212067565
E01000534,3.617803204
E01000535,0.29594156
E01000536,4.831981553
E01000538,6.924983331
E01000539,7.500475778
E01000540,11.30788962
E01000541,2.642740444
E01000543,4.005640347
E01000544,-0.005822148
E01000545,-0.026058562
E01000546,-0.013546386
E01000547,2.14039578
E01000548,-0.023270485
E01000549,-0.017335477
E01000550,0.420241456
E01000551,0.99911778
E01000552,0.240124472
E01000553,0.324605753
E01000554,2.540695961
E01000555,8.233365816
E01000556,0.222089674
E01000557,-0.025496418
E01000558,0.87850626
E01000559,0.952417478
E01000560,1.759215588
E01000561,-0.020037175
E01000562,14.64070239
E01000563,13.50294447
E01000564,2.31236025
E01000565,3.085855651
E01000566,6.016938286
E01000567,2.344199157
E01000568,2.187138645
E01000569,6.580920762
E01000570,3.011877993
E01000571,13.9656984
E01000572,3.72755497
E01000573,4.252398535
E01000574,3.832500856
E01000575,3.069088148
E01000576,3.227068954
E01000577,2.101073455
E01000578,2.171465242
E01000579,1.992178761
E01000580,7.49949284
E01000581,6.320926401
E01000582,7.156958958
E01000583,3.829039839
E01000584,7.736618123
E01000585,3.476227921
E01000586,-0.03753707
E01000587,6.382235737
E01000589,4.301666299
E01000590,3.566485429
E01000591,3.123182099
E01000592,3.867919025
E01000593,2.793767764
E01000594,3.42935568
E01000595,0.922760599
E01000596,0.77702408
E01000599,1.202163262
E01000601,0.303644246
E01000602,1.050034837
E01000603,-0.200133563
E01000604,1.26066028
E01000605,0.857208346
E01000606,2.387180634
E01000607,3.850528816
E01000608,1.671426054
E01000609,3.315058954
E01000610,2.709258416
E01000611,2.499974153
E01000612,1.872824733
E01000613,1.076626706
E01000615,2.076309279
E01000616,1.22315734
E01000617,1.696797701
E01000618,2.430972913
E01000619,2.165510469
E01000620,2.322790949
E01000621,2.45015163
E01000622,1.697530121
E01000623,3.332689477
E01000624,3.300598952
E01000625,3.038395335
E01000626,0.743885384
E01000627,1.820124612
E01000628,1.225407587
E01000629,3.54908769
E01000630,1.373789717
E01000631,3.511278677
E01000632,2.688054925
E01000633,2.126316821
E01000634,1.452333716
E01000636,2.595829919
E01000637,-0.012210726
E01000638,0.132942832
E01000639,0.045904781
E01000640,0.367165139
E01000641,0.306186377
E01000642,-0.023771244
E01000643,0.948997164
E01000644,0.285512481
E01000645,25.14291813
E01000646,3.222152626
E01000647,3.791115276
